,Cyril Grunspan,Sorin G. Gal,Utz Nisslmueller,Masahito Hayashi,Michael Munter,Gautam Krishna,Andres Fernandez Herrero,Yan Ge,El-Mahdi El-Mhamdi,Kyle Mills,Yuanfeng Xu,S. Fujimoto,Hassan Easa,Bogdan C. Ciambur,Patrick M. Drew,D. Seifried,Girish Sharma,D. R. Wilkins,Dimitri Veras,Prateek Agrawal,Kouhei Fukai,Liang Zhai,Alex P. M. Place,T. V. Trevisan,Evan H. Anders,Yixing Fu,Mark A. Hollands,Yaoyuan Vincent Tan,Romina Abachi,Heyi Li,Dahlia R. Klein,Guang Yang,Gwen C. Rudie,A. F. McLeod,M. Blennow,Justin Alsing,Mackenzie S. L. Moody,Mirjam Cvetic,Alexander P. Stephan,P. Peter Stavropoulos,Ben Q. Baragiola,Rakhi Mahbubani,Wenbin Lu,Simon J. Murphy,J. J. Mendoza-Arenas,Philipp Grete,Apoorv Tiwari,Vicente Arjona,Lionel Haemmerle,Alessandro Bombini,Sherwood A. Richers,Ignasi Perez-Rafols,Gregory A. Hamilton,Tom Stratton,Aaron Hui,Sergey Kolesnikov,Joseph DiMarco,Jugal Garg,Mark G. Kuzyk,Mactar Ndaw,Slimane Arhab,Matt Majic,Longquan Dai,Longquan Dai.1,R. A. Bailey,Vadim A. Semenov,Jayadev Acharya,G. B. Lansbury,Andrew Pontzen,Lucas L. Treffenstadt,Hooman Davoudiasl,Itamar Kimchi,Alberto Diez-Tejedor,Patrick Draper,Shi-Ju Kang,Kyoung-Whan Kim,S. J. Houston,William Berdanier,Iu. V. Babyk,Nicolas Bizot,Pengfei Li,Chris Heinrich,Jeremiah W. Murphy,Shigeo Koshitani,Wen Wei Ho,Juneseo Lee,Anaelle J. Maury,A. W. Shaw,Zhao Liu,Adarsh Prasad,Cong Xie,Dong Yin,Adam Klivans,Dan Alistarh,Cong Xie.1,A. Strugarek,Robert Andrassy,Siyi Xu,Yaoyuan Vincent Tan.1,Juan L. Manes,Zhida Song,El-Mahdi El-Mhamdi.1,Benjamin J. Wieder,Louis-Alexandre Couston,Luis Munoz-Gonzalez,M. Fortin-Archambault,D. Schaerer,Christopher J. Manser,Ricardo Perez-Marco,Constantin Niculescu,Klaus-Tycho Foerster,Kazuyasu Shigemoto,Malte vom Endt,Co Tran,Philipp Rosendahl,Rachid Guerraoui,Pooya Ronagh,Luis Elcoro,J. D. Silverman,Thomas Gregoire,Francesca Fragkoudi,Caitlin M. Casey,S. Walch,Indra Yudhistira,C. S. Reynolds,Aditya Parikh,Yuji Nozawa,Matthias C. Lobl,Lila V. H. Rodgers,Gustavo M. Monteiro,Geoffrey M. Vasil,Justin H. Wilson,Pier-Emmanuel Tremblay,Donna Coffman,Mohammad Ghavamzadeh,Dongdong Chen,David MacNeill,W. N. Brandt,Charles C. Steidel,S. Scaringi,E. Fernandez-Martinez,Tom Charnock,Ji-Ming Shi,James Halverson,Smadar Naoz,D. Pereira,Giacomo Pantaleoni,Kin Mimouni,Anthony L. Piro,Daniel Hey,F. J. Gomez-Ruiz,Muhammad A. Latif,Tomas Bzdusek,Juan Borge,Georges Meynet,Lorenzo Papini,Gail C. McLaughlin,Matthew M. Pieri,Moon Jip Park,Sam R. Dolan,Yi Zhang,Oleksii Hrinchuk,Giordana Severino,Setareh Taki,Macoumba Ndour,Dimitrios Anagnostou,Mengke Yuan,Peter J. Cameron,Andrey V. Kravtsov,Gautam Kamath,M. E. Jarvis,Michael Tremmel,Nuno A. M. Araujo,Gopolang Mohlabeng,John P. Sheckelton,Francisco Flores,Jonathan Kozaczuk,Qingwen Wu,Hyun-Woo Lee,D. B. Jess,Michael Kolodrubetz,B. R. McNamara,Giacomo Cacciapaglia,Federico Lelli,Michael Levin,Rubab Khan,Taro Sakurai,Timothy H. Hsieh,Christian Arenz,Josep Miquel Girart,C. O. Heinke,Andrey Gromov,Arun Sai Suggala,Oluwasanmi Koyejo,Yudong Chen,Pravesh K. Kothari,Zeyuan Allen-Zhu,P. Beaudoin,Falk Herwig,Kate Y. L. Su,Carol A. C. Flannagan,L. Elcoro,Zhijun Wang,Yan Han,Daniel Lecoanet,Kenneth T. Co,P. Dufour,M. Ginolfi,Boris T. Gansicke,Stefan Schmid,Takuya Tsukioka,Mario Pieper,Mason Carnahan,Claudio Duran,Sebastien Rouault,Isaac Tamblyn,Zhida Song.1,Matthieu Bethermin,Daniel Stolarski,Sergey Khoperskov,Asantha Cooray,M. Weis,Nilotpal Chakraborty,A. C. Fabian,Matthew Reece,Koji Kawahara,Giang N. Nguyen,Pranav Mundada,A. O. Caldeira,Benjamin P. Brown,J. H. Pixley,Megan Piper,Amir-massoud Farahmand,William H. Nailon,Qian Song,D. M. Alexander,Max Pettini,R. Soria,A. Olivares-Del Campo,Stephen Feeney,James M. Stone,Ling Lin,Andrea M. Ghez,Hae-Young Kee,Rafael N. Alexander,Timothy Van Reeth,F. J. Rodriguez,Dominik R. G. Schleicher,Maria A. H. Vozmediano,James P. Kneller,Michael Blomqvist,Matthew J. Gilbert,Eun-Ah Kim,Pasquale Arpaia,Papa Ngom,Maminirina Joelson,Xiaopeng Zhang,Zechao Li,Nickolay Y. Gnedin,Ziteng Sun,C. M. Harrison,Daniel de las Heras,Matthew Sullivan,Tyrel M. McQueen,Gustavo Niz,Jiang-Hao Yu,Yong-Gang Zheng,Kyung-Jin Lee,A. Asensio Ramos,S. A. Parameswaran,P. E. J. Nulsen,Thomas Flacke,Stacy S. McGaugh,Benjamin Williams,Herschel Rabitz,Qizhou Zhang,A. W. Steiner,Zlatko Papic,Sivaraman Balakrishnan,Indranil Gupta,Kannan Ramchandran,Raghu Meka,Jerry Li,P. Charbonneau,Paul Woodward,Laura Rogers,Lindsay R. Pool,Nicolas Regnault,Arsany Guirguis,Jennifer Cano,Benjamin Favier,Emil C. Lupu,S. Xu,M. Bethermin,Nicola Pietro Gentile Fusillo,Christian Decker,Malte Casper,Nicole Topfner,Benjamin J. Wieder.1,Paola Di Matteo,Katherine E. Whitaker,S. Reissl,Derek Y. H. Ho,Tatsuhiko N. Ikeda,Julian Ritzmann,Basil M. Smitham,Lydia Korre,Maria E. Camisassa,Jason Roy,Mike E. Davies,Daniel T. Larson,C. -T. J. Chen,Ryan F. Trainor,M. W. Pakull,S. Pascoli,Benjamin Wandelt,Muyang Liu,Mark R. Morris,Angela Karanjai,Timothy R. Bedding,L. Quiroga,Wolfram Schmidt,Alexey Vlasenko,Sean Morrison,Huanyu Zhang,Patrick A. Lee,Yue Yin,Karin Everschor-Sitte,S. D. T. Grant,Romain Vasseur,M. T. Hogan,James M. Schombert,Andrew E. Dolphin,Benjamin Russell,Patrick Hennebelle,S. Campana,Pradeep Ravikumar,Peter Bartlett,A. S. Brun,Christian Ritter,Amy Bonsor,Michael R. Elliott,B. Andrei Bernevig,Le Nguyen Hoang,Xi Dai,Michael Le Bars,Y. Fudamoto,Richard Ashley,Martin Ahrens,Ahmed H Tewfik,Sara Ciucci,M. G. Vergniory,G. C. Jones,Francoise Combes,J. D. Soler,Michael S. Fuhrer,Alisa Javadi,Mattias Fitzpatrick,Detlev Koester,Dave Laurenson,Shiang Fang,Q. Ni,Allison L. Strom,R. Urquhart,S. Rosauro-Alcaraz,Jiahua Tian,Anna Ciurlo,Nicolas C. Menicucci,Debopam Som,Jinhui Tang,A. Del Moro,Jia-Li Song,Olena Gomonay,C. Beck,A. N. Vantyghem,Julianne Dalcanton,Eric Keto,H. N. Cohn,Johan Olofsson,Leslie M. Schoop,P. A. Oesch,Elme Breedt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
